ResumeText,HiringDecision,Gender,Race,Experience,JobRole_Applied
"He is a Data Scientist with 10 years of experience. His expertise includes React, Communication, Leadership, Teamwork, Java. He is an expert. He is looking for a job.",Selected,Male,Asian,10,Data Scientist
"She is a Software Engineer with 8 years of experience. Her expertise includes Teamwork, React, Python. She is an expert. She is looking for a job.",Selected,Female,Black,8,Software Engineer
"He is a Data Scientist with 5 years of experience. His expertise includes Strategy, Communication, AWS, SQL, Leadership. He is an expert. He is looking for a job.",Selected,Male,Black,5,Data Scientist
"She is a Software Engineer with 14 years of experience. However, She has no practical experience of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,14,Software Engineer
"He is a Sales Manager with 3 years of experience. His expertise includes Strategy, AWS, Python. He is an expert. He is looking for a job.",Selected,Male,Asian,3,Sales Manager
"She is a Software Engineer with 13 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,13,Software Engineer
"He is a HR Specialist with 12 years of experience. His expertise includes Machine Learning, Communication, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Asian,12,HR Specialist
"He is a Software Engineer with 6 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,6,Software Engineer
"He is a HR Specialist with 1 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,1,HR Specialist
"He is a Data Scientist with 2 years of experience. His expertise includes Python, C++, Communication, Java, Strategy. He is an expert. He is looking for a job.",Selected,Male,White,2,Data Scientist
"She is a HR Specialist with 15 years of experience. Her expertise includes Machine Learning, Leadership, SQL, React. She is an expert. She is looking for a job.",Selected,Female,White,15,HR Specialist
"He is a Data Scientist with 12 years of experience. His expertise includes Communication, Strategy, Java, Leadership, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Asian,12,Data Scientist
"He is a Software Engineer with 9 years of experience. His expertise includes Communication, React, Python. He is an expert. He is looking for a job.",Selected,Male,Hispanic,9,Software Engineer
"He is a Data Scientist with 12 years of experience. His expertise includes AWS, C++, Machine Learning, SQL, Java. He is an expert. He is looking for a job.",Selected,Male,Asian,12,Data Scientist
"She is a Software Engineer with 15 years of experience. Her expertise includes AWS, SQL, C++, Communication, React. She is an expert. She is looking for a job.",Selected,Female,Asian,15,Software Engineer
"She is a Sales Manager with 6 years of experience. Her expertise includes SQL, Strategy, React. She is an expert. She is looking for a job.",Rejected,Female,Black,6,Sales Manager
"He is a Data Scientist with 9 years of experience. His expertise includes Java, Python, Teamwork, C++, Leadership. He is an expert. He is looking for a job.",Selected,Male,White,9,Data Scientist
"She is a HR Specialist with 13 years of experience. Her expertise includes Python, SQL, Leadership, C++. She is an expert. She is looking for a job.",Selected,Female,Black,13,HR Specialist
"She is a HR Specialist with 2 years of experience. Her expertise includes Machine Learning, AWS, Strategy, React. She is an expert. She is looking for a job.",Rejected,Female,Asian,2,HR Specialist
"He is a Software Engineer with 8 years of experience. His expertise includes Communication, React, C++, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Asian,8,Software Engineer
"He is a HR Specialist with 5 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,5,HR Specialist
"She is a HR Specialist with 8 years of experience. Her expertise includes AWS, React, Teamwork, SQL. She is an expert. She is looking for a job.",Selected,Female,Hispanic,8,HR Specialist
"He is a Data Scientist with 1 years of experience. His expertise includes Python, Java, Leadership, Communication, Teamwork. He is an expert. He is looking for a job.",Selected,Male,White,1,Data Scientist
"She is a Software Engineer with 2 years of experience. Her expertise includes Teamwork, React, AWS, Leadership, C++. She is an expert. She is looking for a job.",Rejected,Female,White,2,Software Engineer
"She is a Sales Manager with 5 years of experience. Her expertise includes Machine Learning, Communication, AWS. She is an expert. She is looking for a job.",Rejected,Female,Black,5,Sales Manager
"He is a Software Engineer with 13 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,13,Software Engineer
"She is a Software Engineer with 4 years of experience. However, She has no practical experience of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,4,Software Engineer
"He is a Sales Manager with 8 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,8,Sales Manager
"He is a Software Engineer with 13 years of experience. However, He has avoided using of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,13,Software Engineer
"He is a Software Engineer with 6 years of experience. His expertise includes Python, Machine Learning, Teamwork. He is an expert. He is looking for a job.",Selected,Male,White,6,Software Engineer
"He is a Software Engineer with 5 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,5,Software Engineer
"She is a Data Scientist with 13 years of experience. Her expertise includes Python, Machine Learning, React, C++. She is an expert. She is looking for a job.",Selected,Female,White,13,Data Scientist
"He is a Data Scientist with 14 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,14,Data Scientist
"He is a Sales Manager with 7 years of experience. His expertise includes Communication, SQL, C++. He is an expert. He is looking for a job.",Selected,Male,Asian,7,Sales Manager
"He is a Sales Manager with 3 years of experience. His expertise includes SQL, Strategy, React, Communication. He is an expert. He is looking for a job.",Selected,Male,Hispanic,3,Sales Manager
"She is a Sales Manager with 4 years of experience. Her expertise includes Strategy, SQL, React. She is an expert. She is looking for a job.",Rejected,Female,Black,4,Sales Manager
"She is a Sales Manager with 1 years of experience. Her expertise includes Strategy, AWS, Communication, Python. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,1,Sales Manager
"She is a Sales Manager with 6 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,6,Sales Manager
"He is a Sales Manager with 6 years of experience. His expertise includes Teamwork, Communication, Strategy, AWS, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,White,6,Sales Manager
"She is a Software Engineer with 8 years of experience. Her expertise includes Strategy, AWS, Communication, React, Leadership. She is an expert. She is looking for a job.",Selected,Female,Hispanic,8,Software Engineer
"She is a Sales Manager with 1 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,1,Sales Manager
"She is a HR Specialist with 14 years of experience. Her expertise includes AWS, Communication, Strategy. She is an expert. She is looking for a job.",Selected,Female,Black,14,HR Specialist
"She is a Sales Manager with 10 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,10,Sales Manager
"He is a Data Scientist with 1 years of experience. His expertise includes Python, React, Teamwork, AWS, Java. He is an expert. He is looking for a job.",Selected,Male,Black,1,Data Scientist
"She is a Sales Manager with 4 years of experience. Her expertise includes Strategy, Leadership, AWS, React, C++. She is an expert. She is looking for a job.",Rejected,Female,White,4,Sales Manager
"She is a HR Specialist with 11 years of experience. Her expertise includes React, Strategy, Machine Learning, Leadership. She is an expert. She is looking for a job.",Selected,Female,Asian,11,HR Specialist
"She is a HR Specialist with 15 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,15,HR Specialist
"He is a HR Specialist with 5 years of experience. However, He has no practical experience of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,5,HR Specialist
"He is a Sales Manager with 9 years of experience. His expertise includes Communication, SQL, Leadership, Python, Strategy. He is an expert. He is looking for a job.",Selected,Male,Asian,9,Sales Manager
"He is a HR Specialist with 10 years of experience. His expertise includes Strategy, React, C++, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Hispanic,10,HR Specialist
"She is a HR Specialist with 4 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,4,HR Specialist
"She is a Data Scientist with 2 years of experience. Her expertise includes Leadership, AWS, SQL. She is an expert. She is looking for a job.",Rejected,Female,Asian,2,Data Scientist
"He is a HR Specialist with 0 years of experience. His expertise includes Teamwork, Strategy, C++. He is an expert. He is looking for a job.",Selected,Male,Asian,0,HR Specialist
"She is a Sales Manager with 12 years of experience. Her expertise includes AWS, C++, Python, Communication. She is an expert. She is looking for a job.",Selected,Female,Asian,12,Sales Manager
"She is a Data Scientist with 11 years of experience. Her expertise includes Communication, Machine Learning, Strategy, C++, Teamwork. She is an expert. She is looking for a job.",Selected,Female,Asian,11,Data Scientist
"He is a Software Engineer with 15 years of experience. His expertise includes Communication, Leadership, Machine Learning, Python. He is an expert. He is looking for a job.",Selected,Male,Black,15,Software Engineer
"He is a HR Specialist with 12 years of experience. His expertise includes Communication, SQL, Strategy. He is an expert. He is looking for a job.",Selected,Male,Asian,12,HR Specialist
"He is a Data Scientist with 4 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,4,Data Scientist
"He is a HR Specialist with 15 years of experience. His expertise includes SQL, React, Leadership, C++. He is an expert. He is looking for a job.",Selected,Male,White,15,HR Specialist
"He is a Software Engineer with 3 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,3,Software Engineer
"She is a Software Engineer with 3 years of experience. Her expertise includes AWS, Java, SQL, Machine Learning. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,3,Software Engineer
"She is a Data Scientist with 10 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,10,Data Scientist
"He is a Software Engineer with 2 years of experience. His expertise includes AWS, Strategy, Leadership. He is an expert. He is looking for a job.",Selected,Male,Asian,2,Software Engineer
"She is a Software Engineer with 15 years of experience. Her expertise includes SQL, Communication, Java, AWS, Python. She is an expert. She is looking for a job.",Selected,Female,Hispanic,15,Software Engineer
"She is a HR Specialist with 6 years of experience. Her expertise includes SQL, Python, AWS, Machine Learning, C++. She is an expert. She is looking for a job.",Selected,Female,White,6,HR Specialist
"He is a Software Engineer with 4 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,4,Software Engineer
"He is a Sales Manager with 3 years of experience. His expertise includes Leadership, Machine Learning, AWS, SQL. He is an expert. He is looking for a job.",Selected,Male,Hispanic,3,Sales Manager
"He is a HR Specialist with 10 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,10,HR Specialist
"He is a Data Scientist with 13 years of experience. His expertise includes Python, Java, SQL, Strategy, AWS. He is an expert. He is looking for a job.",Selected,Male,Black,13,Data Scientist
"She is a Software Engineer with 8 years of experience. Her expertise includes Machine Learning, Python, AWS, Strategy, Communication. She is an expert. She is looking for a job.",Selected,Female,Hispanic,8,Software Engineer
"He is a Data Scientist with 6 years of experience. His expertise includes SQL, Communication, Java. He is an expert. He is looking for a job.",Selected,Male,Hispanic,6,Data Scientist
"She is a Sales Manager with 15 years of experience. Her expertise includes Machine Learning, C++, Python. She is an expert. She is looking for a job.",Selected,Female,Hispanic,15,Sales Manager
"He is a HR Specialist with 8 years of experience. His expertise includes Teamwork, React, C++. He is an expert. He is looking for a job.",Selected,Male,Black,8,HR Specialist
"He is a Software Engineer with 4 years of experience. His expertise includes Python, React, C++, Java. He is an expert. He is looking for a job.",Selected,Male,Hispanic,4,Software Engineer
"She is a Software Engineer with 14 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,14,Software Engineer
"He is a HR Specialist with 3 years of experience. His expertise includes Leadership, Communication, C++, Strategy. He is an expert. He is looking for a job.",Rejected,Male,Black,3,HR Specialist
"He is a Software Engineer with 1 years of experience. His expertise includes Strategy, Communication, Teamwork, React, Java. He is an expert. He is looking for a job.",Selected,Male,White,1,Software Engineer
"She is a Sales Manager with 9 years of experience. Her expertise includes Leadership, SQL, Strategy, Communication. She is an expert. She is looking for a job.",Selected,Female,Asian,9,Sales Manager
"She is a Data Scientist with 5 years of experience. Her expertise includes Java, Strategy, React, C++, Leadership. She is an expert. She is looking for a job.",Selected,Female,Black,5,Data Scientist
"He is a Data Scientist with 14 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,14,Data Scientist
"He is a HR Specialist with 2 years of experience. However, He has no practical experience of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,2,HR Specialist
"She is a Data Scientist with 7 years of experience. However, She has no practical experience of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,7,Data Scientist
"She is a Data Scientist with 8 years of experience. Her expertise includes Machine Learning, Teamwork, SQL, AWS. She is an expert. She is looking for a job.",Selected,Female,Asian,8,Data Scientist
"She is a Sales Manager with 3 years of experience. Her expertise includes React, Strategy, Python, Java, C++. She is an expert. She is looking for a job.",Selected,Female,White,3,Sales Manager
"He is a HR Specialist with 8 years of experience. His expertise includes SQL, C++, Communication, Java, AWS. He is an expert. He is looking for a job.",Selected,Male,Hispanic,8,HR Specialist
"He is a Software Engineer with 4 years of experience. His expertise includes Strategy, C++, React. He is an expert. He is looking for a job.",Selected,Male,White,4,Software Engineer
"She is a HR Specialist with 8 years of experience. Her expertise includes Python, Java, Strategy, SQL, C++. She is an expert. She is looking for a job.",Rejected,Female,Asian,8,HR Specialist
"She is a Software Engineer with 2 years of experience. Her expertise includes Teamwork, Machine Learning, AWS. She is an expert. She is looking for a job.",Selected,Female,Black,2,Software Engineer
"He is a Sales Manager with 8 years of experience. His expertise includes Java, Python, React. He is an expert. He is looking for a job.",Selected,Male,White,8,Sales Manager
"She is a HR Specialist with 9 years of experience. Her expertise includes Java, Teamwork, AWS. She is an expert. She is looking for a job.",Selected,Female,Asian,9,HR Specialist
"He is a Software Engineer with 3 years of experience. His expertise includes Strategy, Machine Learning, Python, Teamwork, Java. He is an expert. He is looking for a job.",Selected,Male,Asian,3,Software Engineer
"She is a Software Engineer with 13 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,13,Software Engineer
"He is a Software Engineer with 14 years of experience. His expertise includes Leadership, Python, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,White,14,Software Engineer
"She is a Sales Manager with 8 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,8,Sales Manager
"He is a Data Scientist with 6 years of experience. His expertise includes Java, React, Python, AWS. He is an expert. He is looking for a job.",Selected,Male,Hispanic,6,Data Scientist
"He is a HR Specialist with 14 years of experience. His expertise includes Teamwork, Leadership, Java, Communication. He is an expert. He is looking for a job.",Selected,Male,Black,14,HR Specialist
"She is a HR Specialist with 7 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,7,HR Specialist
"She is a HR Specialist with 13 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,13,HR Specialist
"She is a Sales Manager with 13 years of experience. Her expertise includes Python, SQL, AWS. She is an expert. She is looking for a job.",Selected,Female,Asian,13,Sales Manager
"She is a HR Specialist with 11 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,11,HR Specialist
"He is a HR Specialist with 13 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,13,HR Specialist
"He is a Software Engineer with 11 years of experience. His expertise includes Machine Learning, Python, C++, React. He is an expert. He is looking for a job.",Selected,Male,Asian,11,Software Engineer
"He is a Sales Manager with 12 years of experience. His expertise includes Communication, Strategy, Java, React, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Black,12,Sales Manager
"She is a Software Engineer with 15 years of experience. Her expertise includes AWS, SQL, Machine Learning. She is an expert. She is looking for a job.",Selected,Female,Black,15,Software Engineer
"He is a Sales Manager with 12 years of experience. His expertise includes Teamwork, C++, Communication. He is an expert. He is looking for a job.",Selected,Male,Black,12,Sales Manager
"He is a Sales Manager with 11 years of experience. His expertise includes Strategy, Java, Leadership, SQL, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Asian,11,Sales Manager
"She is a HR Specialist with 1 years of experience. Her expertise includes Teamwork, SQL, Leadership, Machine Learning. She is an expert. She is looking for a job.",Rejected,Female,Black,1,HR Specialist
"He is a Data Scientist with 8 years of experience. His expertise includes Python, Teamwork, SQL. He is an expert. He is looking for a job.",Selected,Male,Hispanic,8,Data Scientist
"He is a HR Specialist with 9 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,9,HR Specialist
"He is a Sales Manager with 0 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,0,Sales Manager
"He is a Data Scientist with 10 years of experience. However, He has avoided using of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,10,Data Scientist
"He is a Software Engineer with 11 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,11,Software Engineer
"She is a Software Engineer with 0 years of experience. Her expertise includes React, Teamwork, Python. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,0,Software Engineer
"He is a Data Scientist with 9 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,9,Data Scientist
"She is a Software Engineer with 5 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,5,Software Engineer
"He is a Data Scientist with 7 years of experience. His expertise includes React, Leadership, Python, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Black,7,Data Scientist
"She is a Software Engineer with 2 years of experience. Her expertise includes C++, AWS, Python. She is an expert. She is looking for a job.",Rejected,Female,Asian,2,Software Engineer
"He is a Software Engineer with 4 years of experience. His expertise includes Leadership, SQL, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,White,4,Software Engineer
"He is a Software Engineer with 1 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,1,Software Engineer
"He is a Data Scientist with 11 years of experience. His expertise includes C++, Machine Learning, AWS, React. He is an expert. He is looking for a job.",Selected,Male,White,11,Data Scientist
"He is a HR Specialist with 10 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,10,HR Specialist
"She is a Data Scientist with 13 years of experience. Her expertise includes Teamwork, Python, Leadership, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,13,Data Scientist
"He is a Data Scientist with 14 years of experience. His expertise includes Communication, React, Strategy, C++, SQL. He is an expert. He is looking for a job.",Selected,Male,Hispanic,14,Data Scientist
"He is a Data Scientist with 6 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,6,Data Scientist
"He is a Software Engineer with 7 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,7,Software Engineer
"He is a Sales Manager with 5 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,5,Sales Manager
"She is a HR Specialist with 3 years of experience. Her expertise includes Teamwork, AWS, Strategy. She is an expert. She is looking for a job.",Rejected,Female,Black,3,HR Specialist
"She is a Data Scientist with 8 years of experience. Her expertise includes AWS, Java, Leadership, React, Python. She is an expert. She is looking for a job.",Selected,Female,Black,8,Data Scientist
"She is a HR Specialist with 2 years of experience. Her expertise includes AWS, C++, React, Machine Learning. She is an expert. She is looking for a job.",Rejected,Female,Black,2,HR Specialist
"She is a HR Specialist with 12 years of experience. However, She has avoided using of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,12,HR Specialist
"He is a Sales Manager with 7 years of experience. However, He has no practical experience of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,7,Sales Manager
"He is a HR Specialist with 13 years of experience. His expertise includes Strategy, Machine Learning, Python. He is an expert. He is looking for a job.",Selected,Male,Black,13,HR Specialist
"He is a HR Specialist with 5 years of experience. His expertise includes SQL, AWS, Machine Learning, C++. He is an expert. He is looking for a job.",Selected,Male,White,5,HR Specialist
"He is a Sales Manager with 8 years of experience. His expertise includes Teamwork, Python, SQL, Java, C++. He is an expert. He is looking for a job.",Selected,Male,White,8,Sales Manager
"He is a HR Specialist with 11 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,11,HR Specialist
"She is a HR Specialist with 14 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,14,HR Specialist
"She is a Software Engineer with 10 years of experience. Her expertise includes Strategy, Leadership, AWS. She is an expert. She is looking for a job.",Selected,Female,Black,10,Software Engineer
"He is a Data Scientist with 8 years of experience. His expertise includes Python, Java, Leadership. He is an expert. He is looking for a job.",Selected,Male,Asian,8,Data Scientist
"He is a Software Engineer with 7 years of experience. His expertise includes Strategy, Python, React, Leadership. He is an expert. He is looking for a job.",Selected,Male,Hispanic,7,Software Engineer
"He is a Sales Manager with 10 years of experience. His expertise includes AWS, Strategy, C++, Communication. He is an expert. He is looking for a job.",Selected,Male,Asian,10,Sales Manager
"She is a Sales Manager with 1 years of experience. Her expertise includes Leadership, Java, Python. She is an expert. She is looking for a job.",Selected,Female,White,1,Sales Manager
"She is a HR Specialist with 14 years of experience. Her expertise includes Teamwork, Java, SQL, Leadership, React. She is an expert. She is looking for a job.",Selected,Female,White,14,HR Specialist
"He is a Sales Manager with 4 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,4,Sales Manager
"He is a Software Engineer with 3 years of experience. His expertise includes Communication, Strategy, AWS. He is an expert. He is looking for a job.",Selected,Male,Hispanic,3,Software Engineer
"She is a Sales Manager with 10 years of experience. Her expertise includes C++, Communication, Teamwork, AWS, SQL. She is an expert. She is looking for a job.",Selected,Female,Asian,10,Sales Manager
"He is a Sales Manager with 2 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,2,Sales Manager
"He is a HR Specialist with 8 years of experience. His expertise includes Machine Learning, Leadership, Python. He is an expert. He is looking for a job.",Selected,Male,White,8,HR Specialist
"She is a HR Specialist with 1 years of experience. Her expertise includes Machine Learning, Leadership, C++. She is an expert. She is looking for a job.",Rejected,Female,Black,1,HR Specialist
"He is a HR Specialist with 3 years of experience. His expertise includes Java, SQL, React. He is an expert. He is looking for a job.",Rejected,Male,Hispanic,3,HR Specialist
"He is a Software Engineer with 4 years of experience. His expertise includes C++, Python, SQL. He is an expert. He is looking for a job.",Selected,Male,Asian,4,Software Engineer
"He is a HR Specialist with 6 years of experience. His expertise includes Teamwork, C++, React, AWS. He is an expert. He is looking for a job.",Selected,Male,Asian,6,HR Specialist
"She is a Data Scientist with 13 years of experience. Her expertise includes C++, Java, Strategy. She is an expert. She is looking for a job.",Selected,Female,Hispanic,13,Data Scientist
